X,Y,Rang,Type,ID
770272.317516943,6270624.76498941,3,Site,138
770276.583652178,6270622.15729116,3,Site,139
770280.849787414,6270619.54959292,3,Site,140
770285.115922649,6270616.94189467,3,Site,141
770289.382057885,6270614.33419642,3,Site,142
770293.64819312,6270611.72649817,3,Site,143
770297.914328356,6270609.11879992,3,Site,144
770302.180463591,6270606.51110168,3,Site,145
770306.446598827,6270603.90340343,3,Site,146
770310.712734062,6270601.29570518,3,Site,147
770314.978869298,6270598.68800693,3,Site,148
770319.245004534,6270596.08030869,3,Site,149
770323.511139769,6270593.47261044,3,Site,150
770327.777275005,6270590.86491219,3,Site,151
770332.04341024,6270588.25721394,3,Site,152
770336.309545476,6270585.64951569,3,Site,153
770340.575680711,6270583.04181745,3,Site,154
770344.841815947,6270580.4341192,3,Site,155
770349.107951182,6270577.82642095,3,Site,156
770353.374086418,6270575.2187227,3,Site,157
770357.640221654,6270572.61102445,3,Site,158
770181.490096743,6270677.5139597,3,Site,159
770185.754857855,6270674.90401475,3,Site,160
770190.019618968,6270672.2940698,3,Site,161
770194.284380081,6270669.68412485,3,Site,162
770198.549141194,6270667.0741799,3,Site,163
770202.813902306,6270664.46423494,3,Site,164
770207.078663419,6270661.85428999,3,Site,165
770211.343424532,6270659.24434504,3,Site,166
770215.608185644,6270656.63440009,3,Site,167
770219.872946757,6270654.02445514,3,Site,168
770224.13770787,6270651.41451019,3,Site,169
770228.402468983,6270648.80456523,3,Site,170
770232.667230095,6270646.19462028,3,Site,171
770236.931991208,6270643.58467533,3,Site,172
770241.196752321,6270640.97473038,3,Site,173
770245.461513433,6270638.36478543,3,Site,174
770249.726274546,6270635.75484047,3,Site,175
770253.991035659,6270633.14489552,3,Site,176
770258.255796771,6270630.53495057,3,Site,177
770262.520557884,6270627.92500562,3,Site,178
770266.785318997,6270625.31506067,3,Site,179
770271.05008011,6270622.70511572,3,Site,180
770275.314841222,6270620.09517076,3,Site,181
770279.579602335,6270617.48522581,3,Site,182
770283.844363448,6270614.87528086,3,Site,183
770288.10912456,6270612.26533591,3,Site,184
770292.373885673,6270609.65539096,3,Site,185
770296.638646786,6270607.045446,3,Site,186
770300.903407898,6270604.43550105,3,Site,187
770305.168169011,6270601.8255561,3,Site,188
770309.432930124,6270599.21561115,3,Site,189
770313.697691237,6270596.6056662,3,Site,190
770317.962452349,6270593.99572125,3,Site,191
770322.227213462,6270591.38577629,3,Site,192
